偅	（ts;rv,vs;rv）
偆	（ip;ri）
假	（jw;rj,jw;ry）
偈	（ji;rh,jx;rh）
偉	（wz;rw）
偊	（yu;ry,yv;ry）
偋	（by;rp）
偌	（ro;rr）
偍	（ti;ru）
偎	（wz;rw）
偏	（pm;rb）
偐	（yj;ry）
偑	（fg;rf）
偒	（dh;ry,th;ry）
偓	（wo;rw）
偔	（ee;re）
偕	（xx;rj）
偖	（ie;rv）
偗	（ug;ru）
偘	（kj;rp）
偙	（di;rd）
做	（zo;rg）
偛	（ia;ri）
停	（ty;rt）
偝	（bz;rb）
偞	（xx;rm）
偟	（hd;rh）
偠	（yk;ry）
偡	（vj;ru）
偢	（ib;rq,qc;rq）
偣	（an;ry）
偤	（yb;rq）
健	（jm;rj）
偦	（xu;rx,xv;rx）
偧	（va;rd）
偨	（ci;ri）
偩	（fu;rf）
偪	（bi;rf,bi;rt）
偫	（vi;rd）
偬	（zs;rc）
偭	（mm;rm）
偮	（ji;re,ji;rq）
偯	（yi;ra）
偰	（xx;rq）
偱	（xp;rd）
偲	（ca;rs,si;rs）
偳	（dr;re）
側	（ce;rz,vl;rz,ze;rz）
偵	（vf;rv,vg;rv）
偶	（ou;ry）
偷	（tb;ry）
偸	（tb;rd,tb;ry）
偹	（bz;rb）
偺	（za;ro,za;rr,zj;rz）
偻	（lb;rl,lv;rl）
偼	（jx;rv）
偽	（wz;rw）
偾	（ff;rb）
偿	（ih;ri）
傀	（gv;rg,kv;rg）
傁	（sb;rs）
傂	（si;rh,vi;rh）
傃	（su;rs）
傄	（xw;rm,xw;ro）
傅	（fu;rc,fu;rf）
傆	（yr;ry）
傇	（rs;rr）
傈	（li;rl）
傉	（nu;rr）
傊	（yp;ry）
傋	（gb;rg,gb;rr,jw;rg,jw;rr）
傌	（ma;rm）
傍	（bh;rp）
傎	（dm;rv）
傏	（th;rt）
傐	（hk;rg）
傑	（jx;rj,jx;rm）
傒	（xi;rx）
傓	（uj;ru）
傔	（jm;rj,qm;rj）
傕	（jt;rv,qt;rv）
傖	（ch;rc）
傗	（iu;ri,iu;rx）
傘	（sj;ru）
備	（bz;ry）
傚	（xc;rx）
傛	（rs;rr）
傜	（yk;rf）
傝	（ta;ry,tj;ry）
傞	（sb;ri）
傟	（yh;rw）
傠	（fa;rt）
傡	（by;rl）
傢	（jw;rj）
傣	（dl;rt）
傤	（zl;rz）
傥	（th;rd）
傦	（gu;rg）
傧	（bn;rb）
储	（iu;rv）
傩	（no;rn）
傪	（cj;rc）
傫	（lz;rl）
催	（cv;rc）
傭	（ys;ry）
傮	（ck;rc,zk;rc）
傯	（zs;rc,zs;rx）
傰	（pg;rb）
傱	（ss;rc,ss;rv）
傲	（ao;ra,ao;rw）
傳	（ir;rv,vr;rv）
傴	（yu;rq,yv;rq）
債	（vl;rz）
傶	（cb;rq,qi;rq）
傷	（uh;rw,uh;ry）
傸	（id;ru）
傹	（jy;rj）
傺	（ii;rj）
傻	（ua;rw）
傼	（hj;rh）
傽	（vh;rv）
傾	（qy;rq）
傿	（yj;ry）
僀	（di;rd）
僁	（xx;rx）
僂	（lb;rl,lv;rl）
僃	（bz;ry）
僄	（bc;rp,pc;rp）
僅	（jn;rj）
僆	（lm;rl）
僇	（lu;rl,lu;rp）
僈	（mj;rm）
僉	（qm;rc）
僊	（xm;rs）
僋	（tj;rt）
僌	（yy;rw）
働	（ds;rd）
僎	（vr;rg）
像	（xd;rx）
僐	（uj;ru）
僑	（qc;rq）
僒	（jp;rj,js;rj）
僓	（tv;rg）
僔	（zp;rz）
僕	（pu;rd,pu;rf,pu;rp）
僖	（xi;rx）
僗	（lk;rl）
僘	（ih;ri,ih;rw）
僙	（gd;rh）
僚	（lc;rl,lc;rx）
僛	（qi;rq）
僜	（dg;rd,ig;rd）
僝	（ij;ri,ij;rz,vj;ri,vj;rz,vr;ri,vr;rz）
僞	（wz;rw）
僟	（ji;rj）
僠	（bo;rf）
僡	（hv;rh）
僢	（ip;ru）
僣	（jm;rt,tx;rt）
僤	（dj;rd）
僥	（jc;ry,yk;ry）
僦	（jq;rj）
僧	（sg;rc）
僨	（ff;rb）
僩	（xm;rx）
僪	（ju;rk,ju;ry,jv;rk,jv;ry）
僫	（ee;re,wu;re）
僬	（jc;rj）
僭	（jm;ro,jm;rq,jm;rr）
僮	（ts;rt,vd;rt）
僯	（ln;rl）
僰	（bo;rc）
僱	（gu;rg）
僲	（xm;rf）
僳	（su;rs）
僴	（xm;rj）
僵	（jd;rj）
僶	（mn;rm,oa;ph）
僷	（ye;rm）
僸	（jn;rj）
價	（jw;rj,jx;rj）
僺	（qc;rz）
